additional_services,address,baggage_storage,built_surface_area_m2,city,civil_protection,commercial_units_count,concession_authority,convention_signature_date,daily_passenger_count,exploitation_start_date,financial_institutions,hospitals,hostels,hotels,inter_willaya_taxi_count,local_administration,long_distance_departures_per_day,long_distance_destinations,long_distance_line,medium_distance_departures_per_day,medium_distance_destinations,medium_distance_line,number_of_platforms,nursing_room,parking_spaces,police_security,prayer_room,public_garden,short_distance_destinations,short_distance_line,short_distance_rotations,station_name,surveillance,total_departures,total_surface_area_m2,tourist_sites,urban_shuttle_count,urban_taxi_count,wifi_available
, Abou Techfine TLEMCEN,True,3902,Tlemcen,,15,None,16/09/2017,30000,Nos services,,"CHU de Tlemcen05, Bd Mohammed V - Tlemcen. Standard   043 41.72.34","Auberge""Ali Bekkar"" Centre Ville Quartier Kebbasse Tlemce","_Hotel Nedjma Cité Nedjma,, Tlemcen",500,,55,,,73,,,,True,120,043278084 N° VERT 15-48,True,,,,02,Yahia bachir,False,,70673,,32,300,False
,,False,,TIPAZA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Tindouf,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: : route national n° 51 timimoun,False,1554,Timimoune,,5,None,01/01/2014,500,Nos services,,,,,0,rue 1 er novembre timimoun,25,,,7,,,16,False,1677,,False,,,,0,TIMIMOUNE,False,,15000,,0,0,False
Autres services ,: Route de Constantine,True,4068,Tebessa,,13,None,19/02/2016,900,Nos services,,ALIA SALAH,MAISON DE JEUNE,MAHIA PALACE,150,,40,"TEBESSE      Alger, Annaba,Bechar, Chlef,Constantinen, Djelfa,Eloued,Ghardaia, Ilizi ,Mestaganem,Oran, Ourgla, Relizane, Saida , Setif, Sidi bel abbes.Tlemcene.Laghouat",42,02," oum elbouaghi, Mdaourouch, Souk ahras, Ain M’Lila.",04,98,False,15316,,True,,/,,,,False,,57439,,,10,False
,: zone TDSI TAMANRASSET ,True,1507,Tamanrasset,,8,,,193,02/12/2014,,,,,0,,19,: Annex,,0,: : 0,,18,True,500,,True,,0,0,0,Nouvel Gare routière de TAMANRASSET,False,,2,,00,0,False
,: cite Ahmed Zabana RN° :01 Ain oussera,False,1000,Ain Oussara,027807070,10,None,01/06/2011,4500,Nos services,,027801461,0773949986,027807122    elwatatiya,150,commune Ain Oussera,00,:  ,00,70, Ain oussera -------kaser chellala//Ain oussera -----------hed esharri //Ain oussera -----------elbirrine //Ain oussera ----------- sidi ladjal,,10,True,9905,027821346,True,,,76,180,Gare Routière  Ain Oussera,False,,,,00,00,False
,,False,,SIDI BRAHIM,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: Axe de la RN 08 Commune Sour el ghozlane W.Bouira,True,,Sour Ghezlane,,03,None,11/06/2011,1960,Nos services,,,,,40,Daïra,00,:  ,00,49,LARBAA/ALGER,,60,False,,,True,,: BOUIRA/SIDI AISSA/DJOUAB,03,88,Sour El Ghozlane (Défunt Moudjahid MANSOURI EL MAAKAFI Dit KOUIDER),False,,,,00,00,False
,,False,,Sidi Boubkeur,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,":  04 CHEMINS, BEJAIA 06000",True,46,Sidi Bel Abbes,Établissements financières,12,None,14/04/2011,40000,Nos services,,"Khalil Amrane   034 12 32 37, Frantz fanon 034 21 11 21",,"Atlantis   034 18 01 01, Sarasin          034 81 03 34",70,DTW    034 21 19 02,68,": 50/jour, ORAN : 02/jours. SIDI BELABBES : 01/jour. CONSTANTINE : 02/jour. ANNABA : 01/jour. SETIF PAR BBA : 01/jour. GHARDAIA : 02/jour. HASSI MESSAOUD : 06/jour. OUARGLA : 02/jour. TAMANRASSET : 01/jour.",,257,SETIF : 84/jour. BOUANDAS : 26/jour.  BENI MOUHLI : 06/jour. BENI OURTILANE : 01/jour.  BOUSLAM : 13/jour. JIJEL : 65/jour.  BOUIRA : 26/jour.  TIZI OUZOU : 46/jour.  BORDJ BOUARARIDJ : 04/jour.,,102,False,520,,True,,:  VALLEE : BENI DJELLIL : 18/jour. SEMAOUNE : 23/jour. TIMZRIT : 72/jour. FENAIA : 04/jour. BENI MAOUCHE : 26/jour. AKBOU : 75/jour. OUZELLAGUENE. 23/jour. TAZMALT : 66/jour. OUED GHIR : 180/jour. MELLALA : 05 départs (navette). TOUDJA : 64/jour. TALAHIBA : 28/jour. ADEKAR : 42/jour. BERCHICHE : 102/jour. ELKSEUR : 78/jour. SIDI AICH : 116/jour. CHEMINI : 24/jour. SEDDOUK : 68/jour SAHEL : TALA HAMZA : 11 départs (navette). AMIZOUR : 138/jour. BOUKHALFA : 84/jour.XANTINA : 32/jour. BARBACHA : 87/jour. IGHIL IALOUANENE : 49/jour. FERAOUNE : 69/jour. KENDIRA : 35/jour TASKRIOUT : 92/jour.  SOUK EL TENINE : 167/jour. AOKAS : 177/jour. DARGUINA : 28/jour. KHERRATA : 99/jour. TICHY : 140/jour,,2072,"ZERNOUH MOHAMED dit HOURANI, agence bejaia EPE/SPA",False,,,,29,25,False
,,False,,SEBDOU,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:  SETIF    ,True,600,Sétif,//,31,,25/02/2015,20000,Nos services,,- administration locale,//,//,400,,64,: /,,93,: /,,38,True,30,Disponible,True,,/,41,138,MOHAMED BOUDIAFE,False,,4000,,1200,160,False
,,False,,Saida,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: Cité Skanska Souk Ahras 41000.,True,2000,Souk Ahras,,14, Le wali de Souk ahras,13/10/2017,4820,Nos services,,,,,180,,46,": Tlemcen, Oran, Blida, Alger, Hassi Massoud, Ouargla, Djelfa, Laghouat, Sidi bel Abbas, Ain safra, Illizi, Teirt, Saida, Bechar, Mostaganem.",,47,: Annaba  Tébessa,,,True,0,,True,,"Médaourouch, Sédrata",47,02,: Laaraibia Mubarek Ben El Boussiri Souk Ahras.,False,,52000,,00,31,False
